id,idade,renda,cidade,categoria,nota,feedback
1,20,9487.31,Vitória,A,8.1,Bom
2,57,38865.13,Vitória,B,8.9,Bom
3,57,4006.19,Vitória,B,9.4,Bom
4,16,30473.92,Belo Horizonte,B,9.8,Bom
5,48,14575.31,São Paulo,A,7.4,Bom
6,17,24992.37,Vitória,B,7.9,Bom
7,24,15627.5,Vitória,B,6.7,Bom
8,72,21120.13,Vitória,B,5.2,Bom
9,37,5390.89,Rio de Janeiro,A,5.2,Bom
10,20,9353.26,Vitória,B,7.9,Bom
11,73,27826.63,São Paulo,B,5.7,Bom
12,19,15158.76,Rio de Janeiro,A,8.8,Bom
13,59,35224.18,Vitória,B,9.2,Bom
14,69,12915.55,Rio de Janeiro,B,7.3,Bom
15,22,39592.43,Vitória,B,7.1,Bom
16,19,10172.31,Vitória,B,6.9,Bom
17,28,7001.26,Belo Horizonte,A,6.2,Bom
18,78,40396.84,Rio de Janeiro,B,7.4,Bom
19,30,25235.71,Rio de Janeiro,A,5.1,Bom
20,19,40448.94,Vitória,B,5.1,Bom
21,46,33251.7,São Paulo,A,7.9,Bom
22,47,33665.48,Vitória,A,9.4,Bom
23,72,7498.62,São Paulo,B,6.4,Bom
24,66,2965.88,São Paulo,A,9.0,Bom
25,54,21741.95,Rio de Janeiro,B,7.7,Bom
26,64,41047.76,São Paulo,A,7.1,Bom
27,56,22469.67,Vitória,A,8.1,Bom
28,53,34359.78,Vitória,B,6.1,Bom
29,65,31334.55,São Paulo,B,6.0,Bom
30,72,29138.19,Belo Horizonte,A,9.3,Bom
31,27,14556.97,Belo Horizonte,B,5.7,Bom
32,65,32076.61,Belo Horizonte,B,7.3,Bom
33,71,10066.06,Belo Horizonte,B,9.9,Bom
34,40,8266.9,São Paulo,A,7.9,Bom
35,38,20179.7,Rio de Janeiro,A,5.7,Bom
36,61,38565.06,Vitória,A,5.6,Bom
37,37,34220.21,Belo Horizonte,A,6.1,Bom
38,48,17252.19,Vitória,A,9.6,Bom
39,20,19102.96,Vitória,B,7.7,Bom
40,49,37129.86,Vitória,B,8.7,Bom
41,26,43685.91,Belo Horizonte,A,7.8,Bom
42,48,34636.84,Rio de Janeiro,B,7.8,Bom
43,67,22225.42,São Paulo,B,7.2,Bom
44,20,43748.86,Belo Horizonte,B,5.6,Bom
45,49,,São Paulo,A,7.3,
